,,,,,,Gravity Loads (per segemnet),,,Gravity Loads (cumulative),,,Wind Load (per segement),,,,,,,Seismic Load (per segment),,,,
Segement,Diameter(in),Thickness(in),A (in2),I (in4),S (in3),Wwater,Wsnow,Wself-weight,Wwater,Wsnow,Wself-weight,Fwind ,V wind,Base Elevation, load location,Arm length,F x Arm,Mwind,Fseismic,Weight,Centroid,Base Elevation,Mseismic
Tank,0,0,-,-,-,883,,54.62,883,0.00,54.62,8.41,8.41,120.83,139.60,18.77,157.84,157.84,3.85,937.62,139.60,120.83,
9,0,0.0000,0.00,0.00,0.00,0,0.00,0.00,883,0.00,54.62,0.00,8.41,120.83,0.00,-120.83,0.00,157.84,3.85,0.00,120.83,120.83,0.00
8,84,0.3750,98.52,86120.84,2050.50,0,0.00,13.41,883,0.00,68.02,3.02,11.43,80.83,101.11,20.28,61.33,555.53,3.85,13.41,100.83,80.83,215.29
7,84,0.4375,114.85,100249.94,2386.90,0,0.00,15.63,883,0.00,83.66,3.02,14.46,40.83,61.31,20.48,61.93,1074.78,3.85,15.63,60.83,40.83,364.40
6,84,0.5000,131.16,114315.44,2721.80,0,0.00,8.26,883,0.00,91.91,1.40,15.86,22.33,31.78,9.45,13.21,1355.45,3.85,8.26,31.58,22.33,434.23
5,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,883,0.00,91.91,0.00,15.86,0.00,0.00,0.00,0.00,1709.50,,,,0.00,
4,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,883,0.00,91.91,0.00,15.86,0.00,0.00,0.00,0.00,1709.50,,,,0.00,
3,146.67,0.5000,229.60,613221.34,8361.87,0,0.00,5.10,883,0.00,97.02,0.86,16.72,14.00,18.22,4.22,3.65,1491.17,3.85,5.10,17.43,14.00,465.87
2,199.34,0.3750,234.39,1159825.85,11636.93,0,0.00,4.86,883,0.00,101.87,1.09,17.81,7.00,10.50,3.50,3.81,1612.03,3.85,4.86,10.15,7.00,492.61
1,252,0.3125,247.09,1956570.57,15528.34,0,0.00,5.28,883,0.00,107.15,1.42,19.23,0.00,3.50,3.50,4.98,1741.68,3.85,5.28,3.23,0.00,519.48
,,,,,,,,,,,,,,,,,,,,,,,
Allowable compressive stress for column,,,,,,,,,,,,,,,,,,,,,,,
FY,36000,psi,,,,,,,,,,,,,,,,,,,,,
k,2,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
(R/t)c,334,,,,,,,,,,,,,,,,,,,,,,
E,29000000,psi,,,,,,,,,,,,,,,,,,,,,
Segement,Radius(in),Thickness(in),R/t,A (in2),I (in4),r(in),C0,FL (ksi),KL/r,C'c,kf,Fa (ksi),Fb (ksi),,Fy,(R/t)c,,,,,,,
Tank,-,-,-,-,-,-,-,-,-,-,-,-,-,,30000,403,,,,,,,
9,0.00,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,32000,377,,,,,,,
8,42.00,0.3750,112.00,98.52,86120.84,29.57,3.33,15.09,58.07,137.74,0.91,13.75,15.09,,34000,354,,,,,,,
7,42.00,0.4375,96.00,114.85,100249.94,29.54,3.51,16.01,35.91,133.72,0.96,15.43,16.01,,36000,334,,,,,,,
6,42.00,0.5000,84.00,131.16,114315.44,29.52,3.66,16.78,16.30,130.62,1.00,16.78,16.78,,38000,316,,,,,,,
5,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,40000,299,,,,,,,
4,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
3,73.34,0.5000,146.67,229.60,613221.34,51.68,2.99,13.41,7.62,146.08,1.00,13.41,13.41,,,,,,,,,,
2,99.67,0.375,265.78,234.39,1159825.85,70.34,2.22,9.71,4.22,171.66,1.00,9.71,9.71,,,,,,,,,,
1,126.00,0.3125,403.20,247.09,1956570.57,88.99,1.71,61.44,1.89,68.25,1.00,61.44,61.44,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Segement,fa,fb,check,,,,,,,,,,,,,,,,,,,,
Tank,-,-,-,,,,,,,,,,,,,,,,,,,,
9,0.00,0.00,NA,,,,,,,,,,,,,,,,,,,,
8,9.65,3.25,0.92,,,,,,,,,,,,,,,,,,,,
7,8.42,5.40,0.88,,,,,,,,,,,,,,,,,,,,
6,7.43,5.98,0.80,,,,,,,,,,,,,,,,,,,,
5,0.00,0.00,NA,,,,,,,,,,,,,,,,,,,,
4,0.00,0.00,NA,,,,,,,,,,,,,,,,,,,,
3,4.27,2.14,0.48,,,,,,,,,,,,,,,,,,,,
2,4.20,1.66,0.60,,,,,,,,,,,,,,,,,,,,
1,4.01,1.35,0.09,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
