Snow Load,,,,Roof Live Load,,,,Live Load,,,,Load Combination,,,,P,,M,
Diameter of tank,30.00,ft,,Min Roof Live Load,15,psf,,Live Load,0,kips,,D,,,,990.15,,0,
Height to consider,4.39,ft,,Area to consider,413.75,ft2,,,,,,D + L,,,,990.15,,0,
Area to consider,413.75,ft2,,Roof Live Load,6.21,kips,,,,,,D + (Lr or S),,,,1007.04,,0,
Ground snow load,45,psf,,,,,,,,,,D + 0.75L + 0.75(Lr or S),,,,1002.82,,0,
Exposure Factor,C,,,,,,,,,,,D + 0.6(W or E),,,,990.15,,1741.68,
Ce,0.9,,,,,,,,,,,D + 0.75L + 0.75(0.6W or 0.6E) + 0.75(Lr or S),,,,1002.82,,1306.26,
Ct,1.2,,,,,,,,,,,0.6D + 0.6(W or E),,,,594.09,,1741.68,
Importance Factor,RC IV,,,,,,,,,,,,,,,,,,
Is,1.2,,,,,,,,,,,,,,,,,,
Snow load,16.89,kips,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
0.6D + 0.6(W or E),,,,D + 0.75L + 0.75(0.6W or 0.6E) + 0.75(Lr or S),,,,D + 0.6(W or E),,,,,,,,,,,
594.09,kips,,,1002.82,kips,,,990.15,,kips,,,,,,,,,
1741.68,ft-kips,,,1306.26,ft-kips,,,1741.68,,ft-kips,,,,,,,,,
fa,fb,check,,fa,fb,check,,fa,,fb,check,,,,,,,,
#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,,,,,,,,
6.03,10.19,1.11,,10.18,7.64,1.25,,10.050,,10.19,1.41,,,,,,,,
5.17,8.76,0.88,,8.73,6.57,0.98,,8.621,,8.76,1.11,,,,,,,,
4.53,7.68,0.73,,7.65,5.76,0.80,,7.549,,7.68,0.91,,,,,,,,
#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,,,,,,,,
#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,,#DIV/0!,#DIV/0!,,,,,,,,
2.59,2.50,0.38,,4.37,1.87,0.47,,4.312,,2.50,0.51,,,,,,,,
2.53,1.80,0.45,,4.28,1.35,0.58,,4.224,,1.80,0.62,,,,,,,,
2.40,1.35,0.06,,4.06,1.01,0.08,,4.007,,1.35,0.09,,,,,,,,
