Volumn (Gal.),Diameter (ft),Centroied (ft),Tank Height (ft),Weight of Water (Kips),Weight of Steel (Kips),Total Weight (Kips),Projected Area (ft2)
50000,24,14.91,27.5416,448,41.4527,489.4527,478.77
75000,27,16.88,31.1629,641,48.1182,689.1182,609.33
100000,30,18.77,34.7842,883,54.6153,937.6153,755.11
125000,32.33,20.18,37.1004,1107,65.685,1172.685,874.96
150000,34,21.27,39.1126,1283,81.2382,1364.2382,966.01
200000,40.5,22.56,41.2088,1969,90.7952,2059.7952,1163
250000,43.67,24.24,43.9459,2122,107.6857,2229.6857,1347.18
300000,46.5,26.04,46.9516,2603,115.0325,2718.0325,1552.23
400000,51.5,28.83,51.9871,3455,154.713,3609.713,1900.48
500000,54,30.96,54.2548,4305,174.2953,4479.2953,2111.58
600000,62.5,,57.2651,5474,221.4761,5695.4761,
750000,83,35.12,62.1187,6798,268.2621,7066.2621,2828.77
1000000,,,,,,,
